Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8003cd2b30 System                    4      0    112      516 ------      0 2020-02-28 19:40:59 UTC+0000                                 
0xfffffa8004c98b30 smss.exe                284      4      3       32 ------      0 2020-02-28 19:40:59 UTC+0000                                 
0xfffffa800589c060 csrss.exe               376    368      9      455      0      0 2020-02-28 19:41:05 UTC+0000                                 
0xfffffa80059c7060 wininit.exe             424    368      3       81      0      0 2020-02-28 19:41:06 UTC+0000                                 
0xfffffa8005bdc300 services.exe            540    424     12      252      0      0 2020-02-28 19:41:07 UTC+0000                                 
0xfffffa8005bedb30 lsass.exe               548    424     19      727      0      0 2020-02-28 19:41:07 UTC+0000                                 
0xfffffa8005c16b30 lsm.exe                 556    424      9      150      0      0 2020-02-28 19:41:07 UTC+0000                                 
0xfffffa8005f8ab30 svchost.exe             656    540     10      370      0      0 2020-02-28 19:41:09 UTC+0000                                 
0xfffffa8005fcb890 svchost.exe             736    540      8      277      0      0 2020-02-28 19:41:10 UTC+0000                                 
0xfffffa8005ffb060 svchost.exe             820    540     17      470      0      0 2020-02-28 19:41:10 UTC+0000                                 
0xfffffa80060419e0 svchost.exe             868    540     16      437      0      0 2020-02-28 19:41:11 UTC+0000                                 
0xfffffa8006016b30 svchost.exe             896    540     29     1010      0      0 2020-02-28 19:41:11 UTC+0000                                 
0xfffffa8006083380 svchost.exe             996    540     14      715      0      0 2020-02-28 19:41:11 UTC+0000                                 
0xfffffa80060a3b30 svchost.exe             432    540     17      408      0      0 2020-02-28 19:41:12 UTC+0000                                 
0xfffffa8005bb0b30 spoolsv.exe            1052    540     13      320      0      0 2020-02-28 19:41:13 UTC+0000                                 
0xfffffa8006196710 svchost.exe            1088    540     19      339      0      0 2020-02-28 19:41:14 UTC+0000                                 
0xfffffa800622c740 svchost.exe            1272    540     22      334      0      0 2020-02-28 19:41:15 UTC+0000                                 
0xfffffa80062e17f0 VGAuthService.         1424    540      4      100      0      0 2020-02-28 19:41:16 UTC+0000                                 
0xfffffa80061dfb30 vmtoolsd.exe           1572    540     10      298      0      0 2020-02-28 19:41:17 UTC+0000                                 
0xfffffa80064e4b30 WmiPrvSE.exe           2008    656     12      250      0      0 2020-02-28 19:41:23 UTC+0000                                 
0xfffffa8006438b30 dllhost.exe            1264    540     13      200      0      0 2020-02-28 19:41:23 UTC+0000                                 
0xfffffa8006571450 msdtc.exe              1252    540     12      149      0      0 2020-02-28 19:41:24 UTC+0000                                 
0xfffffa800661e060 svchost.exe            2168    540     12      334      0      0 2020-02-28 19:41:28 UTC+0000                                 
0xfffffa800630f510 sppsvc.exe             2684    540      4      157      0      0 2020-02-28 19:43:19 UTC+0000                                 
0xfffffa8006406390 SearchIndexer.         2744    540     13      690      0      0 2020-02-28 19:43:20 UTC+0000                                 
0xfffffa800420f440 csrss.exe              2496   2852     12      279      2      0 2020-02-28 20:27:15 UTC+0000                                 
0xfffffa800409c8a0 winlogon.exe           2440   2852      3      113      2      0 2020-02-28 20:27:15 UTC+0000                                 
0xfffffa8004153060 taskhost.exe           1864    540      8      185      2      0 2020-02-28 20:27:41 UTC+0000                                 
0xfffffa80041dc060 dwm.exe                2960    868      3       82      2      0 2020-02-28 20:27:44 UTC+0000                                 
0xfffffa80041f8060 explorer.exe           1108   2296     22      838      2      0 2020-02-28 20:27:44 UTC+0000                                 
0xfffffa80040fe060 vmtoolsd.exe           2224   1108      7      129      2      0 2020-02-28 20:27:45 UTC+0000                                 
0xfffffa80040ab840 thunderbird.ex         2504   1108     51      939      2      0 2020-02-28 20:27:55 UTC+0000                                 
0xfffffa800423bb30 helper.exe              808   2504      0 --------      2      0 2020-02-28 20:28:10 UTC+0000   2020-02-28 20:28:10 UTC+0000  
0xfffffa8004418060 MRCv120.exe            1224   1108      3      278      2      1 2020-03-01 19:53:22 UTC+0000                                 
