Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8003cd3990 System                    4      0    111     1476 ------      0 2020-03-02 21:29:15 UTC+0000                                 
0xfffffa800567ab30 smss.exe                324      4      2       32 ------      0 2020-03-02 21:29:18 UTC+0000                                 
0xfffffa80059f6360 csrss.exe               388    380      9      453      0      0 2020-03-02 21:29:34 UTC+0000                                 
0xfffffa8005bf5600 wininit.exe             440    380      3       79      0      0 2020-03-02 21:29:37 UTC+0000                                 
0xfffffa8005bf4260 csrss.exe               452    432     12      311      1      0 2020-03-02 21:29:37 UTC+0000                                 
0xfffffa8005c2b2b0 winlogon.exe            500    432      3      126      1      0 2020-03-02 21:29:37 UTC+0000                                 
0xfffffa8005c52b30 services.exe            548    440      7      241      0      0 2020-03-02 21:29:40 UTC+0000                                 
0xfffffa8005cd3060 lsass.exe               564    440     10      660      0      0 2020-03-02 21:29:53 UTC+0000                                 
0xfffffa8005d54060 lsm.exe                 576    440     10      148      0      0 2020-03-02 21:29:59 UTC+0000                                 
0xfffffa8005eda4b0 svchost.exe             668    548     12      368      0      0 2020-03-02 21:30:19 UTC+0000                                 
0xfffffa8005e56a30 vmacthlp.exe            736    548      3       60      0      0 2020-03-02 21:30:19 UTC+0000                                 
0xfffffa8005f1b510 svchost.exe             780    548      8      277      0      0 2020-03-02 21:30:20 UTC+0000                                 
0xfffffa8005f71280 svchost.exe             868    548     20      462      0      0 2020-03-02 21:30:20 UTC+0000                                 
0xfffffa8005fc2b30 svchost.exe             912    548     17      428      0      0 2020-03-02 21:30:21 UTC+0000                                 
0xfffffa8006006780 svchost.exe             944    548     30     1048      0      0 2020-03-02 21:30:21 UTC+0000                                 
0xfffffa8006031670 svchost.exe             320    548     16      686      0      0 2020-03-02 21:30:21 UTC+0000                                 
0xfffffa8006068610 svchost.exe             240    548     17      491      0      0 2020-03-02 21:30:22 UTC+0000                                 
0xfffffa8005fedb30 spoolsv.exe            1112    548     12      286      0      0 2020-03-02 21:30:23 UTC+0000                                 
0xfffffa800614f6f0 svchost.exe            1144    548     19      329      0      0 2020-03-02 21:30:23 UTC+0000                                 
0xfffffa80061ccb30 svchost.exe            1280    548     17      335      0      0 2020-03-02 21:30:25 UTC+0000                                 
0xfffffa8006245b30 VGAuthService.         1384    548      3       87      0      0 2020-03-02 21:30:25 UTC+0000                                 
0xfffffa80067fdb30 vmtoolsd.exe           1536    548     12      307      0      0 2020-03-02 21:30:26 UTC+0000                                 
0xfffffa8006207aa0 svchost.exe            1816    548      5      106      0      0 2020-03-02 21:30:28 UTC+0000                                 
0xfffffa800693f690 dllhost.exe            2036    548     13      203      0      0 2020-03-02 21:30:30 UTC+0000                                 
0xfffffa800694eb30 WmiPrvSE.exe           1292    668     11      228      0      0 2020-03-02 21:30:30 UTC+0000                                 
0xfffffa800698db30 msdtc.exe              1164    548     12      148      0      0 2020-03-02 21:30:31 UTC+0000                                 
0xfffffa8006a595f0 svchost.exe            2328    548     13      331      0      0 2020-03-02 21:30:37 UTC+0000                                 
0xfffffa80057acb30 taskhost.exe           2712    548     10      240      1      0 2020-03-02 21:31:07 UTC+0000                                 
0xfffffa8006115b30 sppsvc.exe             2804    548      5      156      0      0 2020-03-02 21:31:08 UTC+0000                                 
0xfffffa8006847b30 dwm.exe                3016    912      3       73      1      0 2020-03-02 21:31:15 UTC+0000                                 
0xfffffa8004ee55e0 explorer.exe           3036   3008     23      838      1      0 2020-03-02 21:31:16 UTC+0000                                 
0xfffffa8006b33060 vmtoolsd.exe           2264   3036      7      140      1      0 2020-03-02 21:31:19 UTC+0000                                 
0xfffffa8003e0a750 SearchIndexer.         2760    548     14      713      0      0 2020-03-02 21:31:26 UTC+0000                                 
0xfffffa8003e03640 thunderbird.ex         2916   3036     50      873      1      0 2020-03-02 21:31:30 UTC+0000                                 
0xfffffa8004050060 2020-01-02-Re-         1724    920      0 --------      1      0 2020-03-02 21:35:49 UTC+0000   2020-03-02 21:36:54 UTC+0000  
0xfffffa8004173690 cmd.exe                2360   2712      0 --------      1      0 2020-03-02 21:38:05 UTC+0000   2020-03-02 21:38:37 UTC+0000  
0xfffffa8004215590 NED32.exe              1776   2712      0 --------      1      0 2020-03-02 21:57:27 UTC+0000   2020-03-02 22:24:37 UTC+0000  
0xfffffa80043cc060 MRCv120.exe            2580   3036      5      311      1      1 2020-03-02 22:00:35 UTC+0000                                 
