Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff88090fec7700 System                    4      0    109        0 ------      0 2020-02-26 21:11:49 UTC+0000                                 
0xffff88091095f040 smss.exe                316      4      2        0 ------      0 2020-02-26 21:11:49 UTC+0000                                 
0xffff8809108cd840 csrss.exe               412    404     12        0      0      0 2020-02-26 21:11:57 UTC+0000                                 
0xffff880911526080 smss.exe                488    316      0 --------      1      0 2020-02-26 21:11:58 UTC+0000   2020-02-26 21:11:58 UTC+0000  
0xffff880911523080 wininit.exe             496    404      1        0      0      0 2020-02-26 21:11:58 UTC+0000                                 
0xffff88091151f080 csrss.exe               508    488     13        0      1      0 2020-02-26 21:11:58 UTC+0000                                 
0xffff8809115613c0 winlogon.exe            560    488      2        0      1      0 2020-02-26 21:11:58 UTC+0000                                 
0xffff8809115c5080 services.exe            644    496      5        0      0      0 2020-02-26 21:11:59 UTC+0000                                 
0xffff8809115c04c0 lsass.exe               660    496     32        0      0      0 2020-02-26 21:12:00 UTC+0000                                 
0xffff880911b48080 svchost.exe             844    644     16        0      0      0 2020-02-26 21:12:07 UTC+0000                                 
0xffff880911b53600 svchost.exe             904    644      9        0      0      0 2020-02-26 21:12:08 UTC+0000                                 
0xffff880911c32080 dwm.exe                 276    560     15        0      1      0 2020-02-26 21:12:09 UTC+0000                                 
0xffff880910ff2840 svchost.exe             288    644     45        0      0      0 2020-02-26 21:12:09 UTC+0000                                 
0xffff880910fee840 svchost.exe             348    644     15        0      0      0 2020-02-26 21:12:09 UTC+0000                                 
0xffff880911c50840 svchost.exe             436    644     27        0      0      0 2020-02-26 21:12:09 UTC+0000                                 
0xffff880911c78840 svchost.exe             832    644     17        0      0      0 2020-02-26 21:12:09 UTC+0000                                 
0xffff880911c80840 svchost.exe             868    644     20        0      0      0 2020-02-26 21:12:09 UTC+0000                                 
0xffff880911d4c840 svchost.exe            1204    644     20        0      0      0 2020-02-26 21:12:10 UTC+0000                                 
0xffff880911d49240 vmacthlp.exe           1236    644      1        0      0      0 2020-02-26 21:12:10 UTC+0000                                 
0xffff880911d98840 svchost.exe            1384    644      4        0      0      0 2020-02-26 21:12:11 UTC+0000                                 
0xffff880911e60840 svchost.exe            1564    644      6        0      0      0 2020-02-26 21:12:13 UTC+0000                                 
0xffff880911e2b840 rundll32.exe           1916    288      5        0      0      0 2020-02-26 21:12:15 UTC+0000                                 
0xffff880911e29840 spaceman.exe           1988    288      2        0      0      0 2020-02-26 21:12:15 UTC+0000                                 
0xffff88091149c080 conhost.exe            1996   1988      3        0      0      0 2020-02-26 21:12:15 UTC+0000                                 
0xffff880911eba840 svchost.exe            1976    644      7        0      0      0 2020-02-26 21:12:18 UTC+0000                                 
0xffff8809120ca840 spoolsv.exe            2160    644     10        0      0      0 2020-02-26 21:12:19 UTC+0000                                 
0xffff8809120e6840 svchost.exe            2276    644      9        0      0      0 2020-02-26 21:12:19 UTC+0000                                 
0xffff8809120fe840 inetinfo.exe           2284    644      6        0      0      0 2020-02-26 21:12:19 UTC+0000                                 
0xffff8809121b6840 svchost.exe            2292    644     22        0      0      0 2020-02-26 21:12:19 UTC+0000                                 
0xffff880912114640 svchost.exe            2352    644     13        0      0      0 2020-02-26 21:12:19 UTC+0000                                 
0xffff880912102080 winlogbeat.exe         2360    644    188        0      0      0 2020-02-26 21:12:20 UTC+0000                                 
0xffff88091211b840 svchost.exe            2368    644      4        0      0      0 2020-02-26 21:12:20 UTC+0000                                 
0xffff880912119840 hMailServer.ex         2376    644     71        0      0      1 2020-02-26 21:12:20 UTC+0000                                 
0xffff88091211c640 MsMpEng.exe            2384    644     24        0      0      0 2020-02-26 21:12:20 UTC+0000                                 
0xffff880912121700 dns.exe                2392    644     20        0      0      0 2020-02-26 21:12:20 UTC+0000                                 
0xffff880912128840 Sysmon.exe             2400    644     12        0      0      0 2020-02-26 21:12:20 UTC+0000                                 
0xffff88091212f840 ismserv.exe            2408    644      8        0      0      0 2020-02-26 21:12:20 UTC+0000                                 
