Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffe58d35cb2200 System                    4      0    107        0 ------      0 2020-02-28 19:38:20 UTC+0000                                 
0xffffe58d367a2700 smss.exe                316      4      2        0 ------      0 2020-02-28 19:38:20 UTC+0000                                 
0xffffe58d3675f080 csrss.exe               412    404     11        0      0      0 2020-02-28 19:38:27 UTC+0000                                 
0xffffe58d37276600 smss.exe                488    316      0 --------      1      0 2020-02-28 19:38:28 UTC+0000   2020-02-28 19:38:28 UTC+0000  
0xffffe58d372d4080 wininit.exe             496    404      1        0      0      0 2020-02-28 19:38:28 UTC+0000                                 
0xffffe58d372ec080 csrss.exe               508    488     13        0      1      0 2020-02-28 19:38:28 UTC+0000                                 
0xffffe58d372d9380 winlogon.exe            564    488      2        0      1      0 2020-02-28 19:38:28 UTC+0000                                 
0xffffe58d37396840 services.exe            640    496      5        0      0      0 2020-02-28 19:38:29 UTC+0000                                 
0xffffe58d373a9600 lsass.exe               648    496     35        0      0      0 2020-02-28 19:38:30 UTC+0000                                 
0xffffe58d3791e080 svchost.exe             848    640     16        0      0      0 2020-02-28 19:38:37 UTC+0000                                 
0xffffe58d379406c0 svchost.exe             904    640     11        0      0      0 2020-02-28 19:38:38 UTC+0000                                 
0xffffe58d379c8080 dwm.exe                1008    564     15        0      1      0 2020-02-28 19:38:39 UTC+0000                                 
0xffffe58d379ea840 svchost.exe             284    640     44        0      0      0 2020-02-28 19:38:40 UTC+0000                                 
0xffffe58d379fc840 svchost.exe               8    640     15        0      0      0 2020-02-28 19:38:40 UTC+0000                                 
0xffffe58d379fa840 svchost.exe             380    640     26        0      0      0 2020-02-28 19:38:40 UTC+0000                                 
0xffffe58d379f8840 svchost.exe             772    640     18        0      0      0 2020-02-28 19:38:40 UTC+0000                                 
0xffffe58d379f74c0 svchost.exe             868    640     21        0      0      0 2020-02-28 19:38:40 UTC+0000                                 
0xffffe58d379ee840 svchost.exe            1200    640     20        0      0      0 2020-02-28 19:38:41 UTC+0000                                 
0xffffe58d379ec840 vmacthlp.exe           1244    640      1        0      0      0 2020-02-28 19:38:42 UTC+0000                                 
0xffffe58d36d3a840 svchost.exe            1408    640      4        0      0      0 2020-02-28 19:38:43 UTC+0000                                 
